Parameter,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE
uk,2.2020466759,0.761421467,2.7975410881,-1.3731904143,-1.3451019102,-0.4246871028,0.8035586943,-1.5752935757,0.8135516476,-1.222780632,1.2927501405,0.2669986026,-0.1535261377,-0.088772737,-0.0202061063,-0.8292073116,1.4300637315,-0.117332584,1.2820811538,0.1946654412
uk,0.8825153123,0.4068258913,1.8337519902,-0.7179459331,-1.6607980105,-1.2826608182,0.6653102724,-2.495504781,-1.2801626315,-1.5674988982,0.9465022053,-0.2183793581,-0.8025491924,-0.8723345872,-0.9635653012,-1.4509291389,4.0869832227,-1.986158517,1.8628183176,0.4875374949
uk,5.1304023749,-0.0594380046,2.3561137249,-1.0108067341,-3.5208324928,-0.9883586683,2.9185629814,-5.017729564,-2.8569571883,-4.9303329665,1.3357361481,0.2734320882,-0.1591736477,-0.710188945,0.7286138722,-2.3894403297,2.8737282621,-0.9822046123,1.7278980312,1.6445012106
uk,2.7062008844,-1.4786312377,3.0685205866,-2.9724716836,-5.5349344635,-0.8239473668,2.1953690715,-2.3221332518,-5.494288542,-1.15173534,1.2045375486,0.343058465,-1.1779877586,-0.4443928951,1.42401122,-3.6413547444,1.1782085673,-1.7304113512,0.9653854546,5.2235666924
uk,0.5954055948,0.2822769267,2.7054947728,-2.9426676906,-0.0813324754,-1.3801579622,0.8077922896,-1.4862648654,-3.2537134625,-1.7825487732,6.3305873622,1.2981017945,-0.6358038572,-0.3280816352,3.8074113874,-1.3656211571,6.963534789,-2.7769942345,0.4865414637,7.2138983322
uk,3.6967404894,-1.083935209,-0.9481713389,-1.976197902,-2.3562319151,0.0647077256,7.9417347482,1.6493609235,-8.6063783981,-1.1700015824,1.8106606518,3.3527205164,-1.4587254437,1.1714701089,14.4292287235,-2.2266325922,-4.02068961,-3.4183983561,2.6529423402,1.3475685812
uk,0.6161552677,-4.1364663127,2.4771019405,-1.0799017719,1.5370170538,-0.4399925322,-2.7267700834,-2.0859103645,-1.586758579,0.8883014265,1.6373357995,-0.0547609337,-2.1844022132,1.486060218,-10.69810975,-1.3623176207,-1.6620787787,0.2366838475,5.4014137453,5.2821192186
uk,-0.244723016,-6.3258415853,-1.0306315775,-9.4174791807,-0.1690808592,-4.1124565788,0.0795482373,-1.483050222,-6.1862092915,-2.4422461057,4.9251510372,-0.0762827955,-8.529463794,0.8617722522,-5.8639330383,-1.944412604,1.0137973223,-3.9752587089,-3.8381431322,-1.9720087747
uk,-2.7108664955,3.1540304443,0.9867419831,5.9932319816,-4.134439041,-6.2938002283,0.3464845684,-2.9899952986,0.5050738678,1.2366744111,-8.1498012702,-1.984318698,-0.0252659917,-4.0236759438,-5.5992868355,-1.8349022009,-4.6939935641,-1.831276698,-1.865137781,-2.7424410531
uk,-2.8747341272,-0.1984366135,1.1940763039,2.618874802,-0.6720761881,0.8139088038,-0.6305151799,-4.0217916045,-5.4924027971,-4.1768774106,-0.8038557764,-1.4111422925,0.8305987468,-1.6654577507,-15.8111042259,-0.3053014137,-3.8423426616,-3.4667166764,-3.3198890529,0.7420042265
uk,-1.9410500111,2.4406132925,3.429277994,10.523220338,0.9461149542,2.8145824213,-0.0227126156,3.9275031754,3.457113846,-4.8798601384,1.4284179059,2.1296236347,-0.4370416125,-0.3164288304,4.7669494158,8.1827776314,1.0700073267,3.9019137879,-1.5455942621,6.9083596342
uk,7.4978528181,10.2994919785,9.6267124149,9.5194326441,9.5730312052,11.0402309464,5.1475172871,1.2886719605,4.1289341613,2.0041171128,3.056299106,6.2049089835,4.3911023919,1.4598832711,-0.1720995352,14.5679226757,2.5730981227,2.6545860998,3.6515751426,12.5237837702
uk,0.006651953,13.4749993304,5.776751909,4.6453581239,8.1244701178,8.3264693455,5.5165767976,5.4835995276,3.602636957,3.2607873108,7.1183861233,10.1477907867,8.3727648657,8.2359408539,-3.9351590201,-3.4815014233,4.1689888928,2.962190058,10.7704495354,8.3159366401
uk,-3.7280464865,7.3717884698,-8.3397517899,19.0854801771,-5.9033989311,-6.8641425224,-0.1202154602,1.084919225,-3.4059617276,-0.3584132363,2.2658403392,-3.7584488753,-3.8601245209,3.3194796962,2.8256641336,-1.4415157912,-2.5318495416,-1.3744761841,-1.4800497902,-5.507673261
uk,-30.3262516931,-8.7573647836,-15.6323640205,-23.0446257269,-15.8379503213,-26.6549569596,-16.5731632044,-16.80011098,-11.0692271623,-16.3820994151,-14.4276180735,-24.4089176729,-38.928384365,-17.44442704,-8.8563416264,-33.23066293,-17.4544310937,-13.9342236537,-18.897427632,-23.2222924678
uk,-41.7303899967,-8.3947895915,-11.9737624137,16.4913420813,-9.0236497338,-33.4048130055,-26.2510832002,-41.3004920641,-25.7014853476,-24.9728995708,-25.7440933734,-37.1272468624,-50.4142204503,-36.6231749669,-24.0183837544,-105.9280572105,-21.2127405281,-37.1227114147,-31.0164892154,-60.602980878
t1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,1.0007278344,0.9961503287,0.9956568399,0.9970241739,0.9999836015,0.9987611888,0.9992661147,0.9959539128,0.9998959557,0.9881076558,0.9995602212,0.9993296331,0.9965434131,0.9994132811,0.9998276568,0.9996927291,1.0003446009,0.9997041429,0.9995069124,0.9981262427
t1,0.9845619368,0.9957793495,0.9944849003,0.9940540789,0.9905551341,0.9892281356,0.9923258471,0.9948522837,1.0000993129,0.9836428754,0.9995681983,0.9963662503,0.9982858251,0.9979492891,0.9914616795,1.0000904528,0.9954887733,1.0002878859,0.9994588613,0.9805950772
t1,0.9668120072,1.0072788424,1.0597697127,1.0027730538,0.9413695726,0.989086833,0.9954287241,1.0098403107,1.0018456627,1.0078297576,0.9868062044,0.9967666742,0.9788699447,0.997987978,0.9981369869,0.9712060644,0.982292161,0.9998627185,1.0165962992,1.0088206459
t1,0.9720732737,1.029225004,1.065641417,1.001472167,0.9240075744,1.0303518732,1.029755324,1.016743867,0.9956373707,1.052234345,0.9641122515,1.001231886,0.9383577278,1.009836969,1.0080882839,0.9328496118,0.9747081575,0.9556638929,1.0160875772,0.9931367457
t1,1.3188367076,1.0321765556,1.1504673392,1.0407236676,1.0329083603,1.0407514884,1.1646773639,1.0955676452,0.8687526534,1.2412429312,0.9673460153,0.9705822726,0.9580641922,1.0109314662,0.9711648013,0.9418474053,0.9650772874,0.9619976333,1.0111725447,0.8147895505
t1,1.2968467629,1.0117079671,1.1949655939,1.2324736011,1.1013019911,1.0716078421,1.1050377317,1.1026000481,0.7426908386,1.2522825045,0.9679688375,0.9531918185,1.0606443799,1.0200725011,0.769386263,1.0171759244,0.9477799871,1.0475387039,1.0120279881,0.5359017133
